time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-12 00:00:00+00:00,24,14,44.0,2.0
2023-09-13 00:00:00+00:00,10,6,,
2023-09-14 00:00:00+00:00,1,1,,
